ep,pid,ev,mu,sig,mean,best,ent,buf,step
172,3445746,-9.332,-0.00034,0.1,,,,,
173,3445746,+0.085,-0.00034,0.1,,,,,
174,3445746,-1.442,-0.00034,0.1,,,,,
175,3445746,-2.864,-0.00034,0.1,,,,,
176,3445746,-0.452,-0.00034,0.1,,,,,
177,3445746,-0.019,-0.00034,0.1,,,,,
178,3445746,-0.330,-0.00034,0.1,,,,,
179,3445746,-0.078,-0.00034,0.1,,,,,
180,3445746,-2.948,-0.00034,0.1,,,,,
181,3445746,-0.475,-0.00034,0.1,,,,,
182,3445746,-0.853,-0.00034,0.1,,,,,
183,3445746,-0.223,-0.00034,0.1,,,,,
184,3445746,-0.235,-0.00034,0.1,,,,,
185,3445746,+0.331,-0.00034,0.1,,,,,
186,3445746,-4.599,-0.00034,0.1,,,,,
187,3445746,-0.480,-0.00034,0.1,,,,,
188,3445746,-2.635,-0.00034,0.1,,,,,
189,3445746,-0.169,-0.00034,0.1,,,,,
190,3445746,+0.122,-0.00034,0.1,,,,,
191,3445746,-0.240,-0.00034,0.1,,,,,
192,3445746,-0.447,-0.00034,0.1,,,,,
193,3445746,-0.206,-0.00034,0.1,,,,,
194,3445746,+0.542,-0.00034,0.1,,,,,
195,3445746,-0.425,-0.00034,0.1,,,,,
196,3445746,-1.070,-0.00034,0.1,,,,,
197,3445746,-0.214,-0.00034,0.1,,,,,
198,3445746,-0.538,-0.00034,0.1,,,,,
199,3445746,-3.375,-0.00034,0.1,,,,,
200,3445746,+0.133,-0.00034,0.1,,,,,
201,3445746,-0.556,-0.00034,0.1,,,,,
202,3445746,+0.291,-0.00034,0.1,,,,,
203,3445746,-0.282,-0.00034,0.1,,,,,
204,3445746,-2.104,-0.00034,0.1,,,,,
205,3445746,-0.097,-0.00034,0.1,,,,,
206,3445746,-0.490,-0.00034,0.1,,,,,
207,3445746,-0.140,-0.00034,0.1,,,,,
208,3445746,-2.777,-0.00034,0.1,,,,,
209,3445746,+0.051,-0.00034,0.1,,,,,
210,3445746,-0.069,-0.00034,0.1,,,,,
211,3445746,-0.016,-0.00034,0.1,,,,,
212,3445746,+0.195,-0.00034,0.1,,,,,
213,3445746,-0.079,-0.00034,0.1,,,,,
214,3445746,-0.392,-0.00034,0.1,,,,,
215,3445746,+0.075,-0.00034,0.1,,,,,
216,3445746,-0.986,-0.00034,0.1,,,,,
217,3445746,+0.115,-0.00034,0.1,,,,,
218,3445746,-3.126,-0.00034,0.1,,,,,
219,3445746,-1.005,-0.00034,0.1,,,,,
220,3445746,-1.052,-0.00034,0.1,,,,,
221,3445746,-0.463,-0.00034,0.1,,,,,
222,3445746,+0.039,-0.00034,0.1,,,,,
223,3445746,-0.868,-0.00034,0.1,,,,,
224,3445746,-0.154,-0.00034,0.1,,,,,
225,3445746,-0.011,-0.00034,0.1,,,,,
226,3445746,-0.665,-0.00034,0.1,,,,,
227,3445746,-0.299,-0.00034,0.1,,,,,
228,3445746,-0.234,-0.00034,0.1,,,,,
229,3445746,-0.067,-0.00034,0.1,,,,,
230,3445746,+0.193,-0.00034,0.1,,,,,
231,3445746,+0.026,-0.00034,0.1,,,,,
232,3445746,-6.300,-0.00034,0.1,,,,,
233,3445746,+0.381,-0.00034,0.1,,,,,
234,3445746,-0.095,-0.00034,0.1,,,,,
235,3445746,+0.292,-0.00034,0.1,,,,,
236,3445746,+0.001,-0.00034,0.1,,,,,
237,3445746,+0.129,-0.00034,0.1,,,,,
238,3445746,-0.157,-0.00034,0.1,,,,,
239,3445746,+0.297,-0.00034,0.1,,,,,
240,3445746,-3.569,-0.00034,0.1,,,,,
241,3445746,-0.451,-0.00034,0.1,,,,,
242,3445746,-0.325,-0.00034,0.1,,,,,
243,3445746,-0.007,-0.00034,0.1,,,,,
244,3445746,-0.064,-0.00034,0.1,,,,,
245,3445746,-0.274,-0.00034,0.1,,,,,
246,3445746,-0.444,-0.00034,0.1,,,,,
247,3445746,-0.527,-0.00034,0.1,,,,,
248,3445746,-0.384,-0.00034,0.1,,,,,
249,3445746,-0.216,-0.00034,0.1,,,,,
250,3445746,-1.063,-0.00034,0.1,,,,,
251,3445746,-0.942,-0.00034,0.1,,,,,
252,3445746,-0.538,-0.00034,0.1,,,,,
253,3445746,+0.247,-0.00034,0.1,,,,,
254,3445746,-0.542,-0.00034,0.1,,,,,
255,3445746,-0.067,-0.00034,0.1,,,,,
256,3445746,+0.129,-0.00034,0.1,,,,,
257,3445746,-0.284,-0.00034,0.1,,,,,
258,3445746,-0.789,-0.00034,0.1,,,,,
259,3445746,-0.408,-0.00034,0.1,,,,,
260,3445746,-0.088,-0.00034,0.1,,,,,
261,3445746,+0.176,-0.00034,0.1,,,,,
262,3445746,-5.001,-0.00034,0.1,,,,,
263,3445746,-0.243,-0.00034,0.1,,,,,
264,3445746,-0.359,-0.00034,0.1,,,,,
265,3445746,-0.161,-0.00034,0.1,,,,,
266,3445746,-0.151,-0.00034,0.1,,,,,
267,3445746,-0.538,-0.00034,0.1,,,,,
268,3445746,-0.099,-0.00034,0.1,,,,,
269,3445746,-0.010,-0.00034,0.1,,,,,
270,3445746,-1.130,-0.00034,0.1,,,,,
271,3445746,+0.082,-0.00034,0.1,,,,,
272,3445746,-0.293,-0.00034,0.1,,,,,
273,3445746,-0.005,-0.00034,0.1,,,,,
274,3445746,-2.095,-0.00034,0.1,,,,,
275,3445746,+0.262,-0.00034,0.1,,,,,
276,3445746,+0.025,-0.00034,0.1,,,,,
277,3445746,-2.506,-0.00034,0.1,,,,,
278,3445746,-0.189,-0.00034,0.1,,,,,
279,3445746,-0.178,-0.00034,0.1,,,,,
280,3445746,-0.349,-0.00034,0.1,,,,,
281,3445746,-0.067,-0.00034,0.1,,,,,
282,3445746,-0.227,-0.00034,0.1,,,,,
283,3445746,-0.294,-0.00034,0.1,,,,,
284,3445746,+0.018,-0.00034,0.1,,,,,
285,3445746,-0.157,-0.00034,0.1,,,,,
286,3445746,-0.313,-0.00034,0.1,,,,,
287,3445746,-0.200,-0.00034,0.1,,,,,
288,3445746,+0.108,-0.00034,0.1,,,,,
289,3445746,-0.110,-0.00034,0.1,,,,,
290,3445746,-0.367,-0.00034,0.1,,,,,
291,3445746,-0.016,-0.00034,0.1,,,,,
292,3445746,-1.100,-0.00034,0.1,,,,,
293,3445746,+0.165,-0.00034,0.1,,,,,
294,3445746,-3.695,-0.00034,0.1,,,,,
295,3445746,+0.118,-0.00034,0.1,,,,,
296,3445746,-0.227,-0.00034,0.1,,,,,
297,3445746,-0.350,-0.00034,0.1,,,,,
298,3445746,-0.755,-0.00034,0.1,,,,,
299,3445746,-0.275,-0.00034,0.1,,,,,
