ep,pid,ev,mu,sig,mean,best,ent,buf,step
172,3699610,+0.698,-0.00034,0.1,,,,,
173,3699610,+0.470,-0.00034,0.1,,,,,
174,3699610,+0.604,-0.00034,0.1,,,,,
175,3699610,+0.539,-0.00034,0.1,,,,,
176,3699610,+0.530,-0.00034,0.1,,,,,
177,3699610,+0.639,-0.00034,0.1,,,,,
178,3699610,+0.647,-0.00034,0.1,,,,,
179,3699610,+0.433,-0.00034,0.1,,,,,
180,3699610,-0.188,-0.00034,0.1,,,,,
181,3699610,-0.001,-0.00034,0.1,,,,,
182,3699610,-0.052,-0.00034,0.1,,,,,
183,3699610,+0.024,-0.00034,0.1,,,,,
184,3699610,-1.047,-0.00034,0.1,,,,,
185,3699610,+0.081,-0.00034,0.1,,,,,
186,3699610,-0.748,-0.00034,0.1,,,,,
187,3699610,+0.488,-0.00034,0.1,,,,,
188,3699610,+0.311,-0.00034,0.1,,,,,
189,3699610,-0.661,-0.00034,0.1,,,,,
190,3699610,-0.228,-0.00034,0.1,,,,,
191,3699610,-1.340,-0.00034,0.1,,,,,
192,3699610,-0.087,-0.00034,0.1,,,,,
193,3699610,+0.630,-0.00034,0.1,,,,,
194,3699610,-0.155,-0.00034,0.1,,,,,
195,3699610,+0.674,-0.00034,0.1,,,,,
196,3699610,-0.929,-0.00034,0.1,,,,,
197,3699610,+0.504,-0.00034,0.1,,,,,
198,3699610,-0.567,-0.00034,0.1,,,,,
199,3699610,-0.532,-0.00034,0.1,,,,,
200,3699610,+0.336,-0.00034,0.1,,,,,
201,3699610,+0.151,-0.00034,0.1,,,,,
202,3699610,+0.012,-0.00034,0.1,,,,,
203,3699610,+0.278,-0.00034,0.1,,,,,
204,3699610,+0.087,-0.00034,0.1,,,,,
205,3699610,-0.372,-0.00034,0.1,,,,,
206,3699610,+0.400,-0.00034,0.1,,,,,
207,3699610,-0.037,-0.00034,0.1,,,,,
208,3699610,-0.210,-0.00034,0.1,,,,,
209,3699610,-0.025,-0.00034,0.1,,,,,
210,3699610,+0.370,-0.00034,0.1,,,,,
211,3699610,-4.155,-0.00034,0.1,,,,,
212,3699610,+0.581,-0.00034,0.1,,,,,
213,3699610,-0.140,-0.00034,0.1,,,,,
214,3699610,-3.853,-0.00034,0.1,,,,,
215,3699610,-0.116,-0.00034,0.1,,,,,
216,3699610,-0.040,-0.00034,0.1,,,,,
217,3699610,-9.365,-0.00034,0.1,,,,,
218,3699610,-0.539,-0.00034,0.1,,,,,
219,3699610,-1.689,-0.00034,0.1,,,,,
220,3699610,-0.071,-0.00034,0.1,,,,,
221,3699610,-0.068,-0.00034,0.1,,,,,
222,3699610,+0.556,-0.00034,0.1,,,,,
223,3699610,+0.484,-0.00034,0.1,,,,,
224,3699610,+0.660,-0.00034,0.1,,,,,
225,3699610,-0.210,-0.00034,0.1,,,,,
226,3699610,+0.178,-0.00034,0.1,,,,,
